title,magnitude,date_time,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,continent,country,magnitude_scaled,depth_scaled,geo_cluster,location_risk_score,alert_encoded
M 7.5 - South Sandwich Islands region,7.5,12-08-2021 18:32,9,6,green,1,868,us,0,7.227,38.0,mww,47.23,-57.5959,-25.1874,South Sandwich Islands region,,,1.2552520376733023,-0.20885888536887245,9,7.005263157894737,0
"M 7.1 - 60 km ENE of Pondaguitan, Philippines",7.1,11-08-2021 17:46,9,7,green,1,846,us,0,1.273,25.0,mww,55.14,6.4547,126.742,"Pondaguitan, Philippines",,,0.35683807697357384,-0.15120131788041938,2,6.878813559322034,0
"M 8.2 - 91 km ESE of Perryville, Alaska",8.2,29-07-2021 06:15,8,6,green,1,1237,us,0,0.875,66.0,mww,46.66,55.4742,-157.917,"Perryville, Alaska",,,2.8274764688978244,-0.2130137290437673,6,6.941860465116279,0
"M 8.2 - 99 km SE of Perryville, Alaska",8.2,29-07-2021 06:15,8,7,yellow,1,1252,ak,0,0.0,0.0,mww,35.0,55.3154,-157.829,"Perryville, Alaska",,,2.8274764688978244,-0.29800579439337066,6,6.941860465116279,4
"M 6.7 - 15 km S of Hukay, Philippines",6.7,23-07-2021 20:48,8,5,green,1,935,us,0,8.139,12.0,mww,110.0,13.6989,120.713,"Hukay, Philippines",Asia,Philippines,-0.5415758837261526,0.24868416282963557,2,6.878813559322034,0
"M 6.7 - 71 km S of Burica, Panama",6.7,21-07-2021 21:15,6,6,green,1,830,us,0,1.395,61.0,mww,10.0,7.5904,-82.8813,"Burica, Panama",,,-0.5415758837261526,-0.48023578013437274,1,6.9223684210526315,0
"M 6.5 - Kermadec Islands, New Zealand",6.5,20-06-2021 17:05,0,4,green,1,650,us,0,7.994,24.0,mww,25.0,-30.2144,-177.773,"Kermadec Islands, New Zealand",,,-0.9907828640760169,-0.37089778868977147,3,6.9511111111111115,0
"M 6.5 - 265 km SSE of Alo, Wallis and Futuna",6.5,21-05-2021 22:13,5,7,green,1,652,us,0,4.518,44.0,mww,10.0,-16.4796,-177.356,"Alo, Wallis and Futuna",,,-0.9907828640760169,-0.48023578013437274,3,6.9511111111111115,0
"M 7.3 - Southern Qinghai, China",7.3,21-05-2021 18:04,9,9,orange,0,1025,us,0,4.655,9.0,mww,10.0,34.5861,98.2551,"Southern Qinghai, China",Asia,People's Republic of China,0.8060450573234381,-0.48023578013437274,8,7.034831460674158,1
"M 6.7 - 260 km S of Sinabang, Indonesia",6.7,14-05-2021 06:33,8,4,green,0,698,us,0,1.487,37.0,mww,11.0,0.1684,96.6475,"Sinabang, Indonesia",,,-0.5415758837261526,-0.4729465807047326,8,7.034831460674158,0
M 6.7 - Mauritius - Reunion region,6.7,12-05-2021 14:05,9,3,green,0,694,us,0,10.669,45.0,mww,10.0,-17.2495,66.3745,Mauritius - Reunion region,,,-0.5415758837261526,-0.48023578013437274,8,7.034831460674158,0
M 6.9 - ,6.9,01-05-2021 01:27,7,6,green,1,919,us,0,2.619,35.0,mww,43.0,38.2296,141.665,,Asia,Japan,-0.09236890337628839,-0.23969219895625,7,6.983076923076924,0
"M 6.5 - 207 km WSW of Haveluloto, Tonga",6.5,25-04-2021 22:28,4,4,green,0,651,us,0,5.931,20.0,mww,246.0,-21.6857,-177.064,"Haveluloto, Tonga",,,-0.9907828640760169,1.240015285260687,3,6.9511111111111115,0
"M 6.5 - 225 km WNW of Pangai, Tonga",6.5,24-04-2021 00:23,6,4,green,0,652,us,0,10.405,19.0,mww,301.0,-18.9204,-176.235,"Pangai, Tonga",,,-0.9907828640760169,1.6409212538908915,3,6.9511111111111115,0
"M 7.0 - 30 km E of Ishinomaki, Japan",7.0,20-03-2021 09:09,7,7,yellow,1,1052,us,0,2.378,35.0,mww,43.0,38.4752,141.607,"Ishinomaki, Japan",Asia,Japan,0.13223458679864272,-0.23969219895625,7,6.983076923076924,4
"M 6.6 - 171 km SSE of Ust’-Kamchatsk Staryy, Russia",6.6,16-03-2021 18:38,5,5,green,1,672,us,0,3.183,18.0,mww,13.23,54.7018,163.208,"Ust’-Kamchatsk Staryy, Russia",,,-0.7661793739010858,-0.45669166597663524,7,6.983076923076924,0
M 6.5 - Kermadec Islands region,6.5,04-03-2021 23:12,0,4,green,0,650,us,0,11.764,25.0,mwb,24.0,-28.4792,-176.619,Kermadec Islands region,,,-0.9907828640760169,-0.37818698811941154,3,6.9511111111111115,0
"M 8.1 - Kermadec Islands, New Zealand",8.1,04-03-2021 19:28,9,8,green,1,1021,us,0,0.739,21.0,mww,28.93,-29.7466,-177.224,"Kermadec Islands, New Zealand",,,2.602872978722893,-0.34225123493128595,3,6.9511111111111115,0
"M 7.4 - Kermadec Islands, New Zealand",7.4,04-03-2021 17:41,3,7,green,1,843,us,0,0.437,30.0,mww,43.0,-29.6131,-177.842,"Kermadec Islands, New Zealand",,,1.0306485474983713,-0.23969219895625,3,6.9511111111111115,0
"M 7.3 - 182 km NE of Gisborne, New Zealand",7.3,04-03-2021 13:27,7,6,green,1,932,us,0,0.918,24.0,mww,10.0,-37.596,179.544,"Gisborne, New Zealand",,,0.8060450573234381,-0.48023578013437274,5,6.913736263736263,0
"M 7.1 - 73 km ENE of Namie, Japan",7.1,13-02-2021 14:07,9,8,orange,1,1612,us,0,3.085,11.0,mww,43.98,37.6856,141.992,"Namie, Japan",,,0.35683807697357384,-0.23254878351520272,7,6.983076923076924,1
M 7.7 - southeast of the Loyalty Islands,7.7,10-02-2021 13:19,9,4,green,1,918,us,0,7.989,15.0,mww,10.0,-23.2787,171.489,the Loyalty Islands,,,1.7044590180231667,-0.48023578013437274,5,6.913736263736263,0
M 6.9 - South Shetland Islands,6.9,23-01-2021 23:36,9,5,green,1,739,us,0,1.55,16.0,mww,15.0,-61.8484,-55.559,South Shetland Islands,,Antarctica,-0.09236890337628839,-0.4437897829861723,9,7.005263157894737,0
"M 7.0 - 211 km SE of Pondaguitan, Philippines",7.0,21-01-2021 12:23,7,5,green,1,802,us,0,2.821,15.0,mww,80.0,5.0074,127.517,"Pondaguitan, Philippines",,,0.13223458679864272,0.03000817994043308,2,6.878813559322034,0
"M 6.7 - 29 km SSW of Turt, Mongolia",6.7,11-01-2021 21:32,8,8,green,0,776,us,0,2.043,22.0,mww,10.0,51.2407,100.443,"Turt, Mongolia",Asia,Mongolia,-0.5415758837261526,-0.48023578013437274,8,7.034831460674158,0
"M 6.7 - 146 km WNW of Corral, Chile",6.7,27-12-2020 21:39,5,5,green,1,776,us,0,1.319,19.0,mww,10.0,-39.3264,-74.9067,"Corral, Chile",,,-0.5415758837261526,-0.48023578013437274,4,6.97625,0
"M 7.0 - 13 km NNE of Néon Karlovásion, Greece",7.0,30-10-2020 11:51,8,7,orange,0,1527,us,0,1.518,18.0,mww,21.0,37.8973,26.7953,"Néon Karlovásion, Greece",Europe,Greece,0.13223458679864272,-0.4000545864083318,0,6.866666666666667,1
"M 7.6 - 99 km SE of Sand Point, Alaska",7.6,19-10-2020 20:54,9,7,yellow,1,1165,us,0,0.23,36.0,mww,28.37,54.662,-159.675,"Sand Point, Alaska",North America,United States of America,1.4798555278482335,-0.34633318661188434,6,6.941860465116279,4
M 6.9 - central Mid-Atlantic Ridge,6.9,18-09-2020 21:43,0,3,green,1,732,us,0,11.255,16.0,mww,10.0,0.9604,-26.8332,central Mid-Atlantic Ridge,,,-0.09236890337628839,-0.48023578013437274,4,6.97625,0
"M 6.5 - 94 km NW of Vallenar, Chile",6.5,01-09-2020 21:09,6,6,green,0,674,us,0,0.388,49.0,mww,16.0,-27.9285,-71.3937,"Vallenar, Chile",,,-0.9907828640760169,-0.4365005835565322,4,6.97625,0
"M 6.8 - 86 km NW of Vallenar, Chile",6.8,01-09-2020 04:09,6,7,green,1,824,us,0,0.312,69.0,mww,21.0,-28.013,-71.1958,"Vallenar, Chile",,Chile,-0.31697239355122153,-0.4000545864083318,4,6.97625,0
M 6.5 - central Mid-Atlantic Ridge,6.5,30-08-2020 21:20,4,5,green,0,651,us,0,15.394,31.0,mww,10.0,0.8696,-29.7046,central Mid-Atlantic Ridge,,,-0.9907828640760169,-0.48023578013437274,4,6.97625,0
"M 6.9 - 222 km SSE of Katabu, Indonesia",6.9,21-08-2020 04:09,4,3,green,0,749,us,0,2.267,20.0,mww,624.0,-6.6704,123.493,"Katabu, Indonesia",,Indonesia,-0.09236890337628839,3.995332669664638,2,6.878813559322034,0
