alert_encoded,mmi,cdi,magnitude,sig,depth
1,0.7936385154853223,0.9089068656013018,2.2197692700310494,1.7387526491185752,0.6677182540517991
0,0.060150674830748964,0.017738229227191607,1.274385863853232,-1.3568696676910814,-0.3903058311266762
3,-0.6733371658238243,0.017738229227191607,0.09265660613096145,1.0971728943393717,0.894437700875758
0,-0.6733371658238243,-0.8734304071469187,-0.6163809485024004,-0.6511319374339575,-0.3430726130383514
0,-1.4068250064783976,-3.1013519980821944,-1.3254185031357624,-1.7257780266891234,-0.1257998098320574
0,-2.140312847132971,0.017738229227191607,-0.14368924541349182,1.7868711307270155,2.037481578613218
3,0.060150674830748964,0.017738229227191607,1.0380400123087787,2.1076610081166174,0.884991057258093
3,-0.6733371658238243,-0.42784608895986354,-0.8527268000468538,-1.677659545080683,0.1387062114625614
0,-2.8738006877875444,-3.1013519980821944,-0.8527268000468538,-1.0681587780404398,-0.3619659002736813
1,0.7936385154853223,0.4633225474142467,-0.8527268000468538,1.1934098575562522,0.11036628060956652
0,-2.140312847132971,-0.8734304071469187,-1.0890726515913092,-1.3889486554300416,-0.1541397406850523
0,-2.140312847132971,-2.210183361708084,-1.0890726515913092,-1.3729091615605615,-0.07856659174373262
0,-2.8738006877875444,-1.7645990435210288,-0.6163809485024004,-0.6832109251729177,4.8998145947657
0,-1.4068250064783976,-0.8734304071469187,-0.14368924541349182,0.72826453534133,0.08202634975657165
0,0.060150674830748964,-1.7645990435210288,0.5653483092198701,1.0330149188614515,-0.33362596942068645
0,-1.4068250064783976,-3.1013519980821944,0.09265660613096145,0.2951982008653676,0.7716313338461136
0,-2.140312847132971,-3.1013519980821944,-1.0890726515913092,-1.4049881492995215,-0.3903058311266762
0,-0.6733371658238243,-1.7645990435210288,1.0380400123087787,1.8189501184659755,-0.3903058311266762
1,0.7936385154853223,0.4633225474142467,0.09265660613096145,0.1348032621705667,-0.050226660890737754
0,-2.8738006877875444,-3.1013519980821944,-0.6163809485024004,-0.7473689006508379,4.6164152862357515
0,-2.140312847132971,-1.7645990435210288,-0.8527268000468538,-1.0360797903014796,-0.3903058311266762
3,0.060150674830748964,0.4633225474142467,-0.6163809485024004,-0.9558823209540791,-0.35251925665601636
0,-2.140312847132971,-2.210183361708084,-1.3254185031357624,-1.6455805573417228,-0.3903058311266762
0,-2.140312847132971,-1.3190147253339737,-0.6163809485024004,0.2951982008653676,-0.3903058311266762
0,-2.140312847132971,-1.7645990435210288,-1.3254185031357624,-1.4210276431690017,-0.3903058311266762
0,-2.140312847132971,-3.1013519980821944,-1.3254185031357624,-1.7257780266891234,-0.3241793258030215
0,-2.8738006877875444,-3.1013519980821944,-0.8527268000468538,-1.0681587780404398,3.8701304404402195
0,-2.140312847132971,-3.1013519980821944,-1.3254185031357624,-1.7257780266891234,-0.29583939495002665
0,-0.6733371658238243,-0.42784608895986354,-0.14368924541349182,0.006487311214726011,-0.11635316621439246
0,-2.8738006877875444,-2.210183361708084,-0.8527268000468538,-1.0681587780404398,4.710881722412401
2,0.7936385154853223,0.4633225474142467,1.0380400123087787,-0.185986615219035,-0.29583939495002665
0,-4.340776369096691,-1.3190147253339737,-1.3254185031357624,-1.7097385328196433,4.95649445647169
0,-2.140312847132971,-1.7645990435210288,-0.3800350969579451,-0.3624210477833159,0.6015917487281442
0,-0.6733371658238243,-1.7645990435210288,-1.3254185031357624,-1.7097385328196433,0.1575994986978913
0,-2.140312847132971,0.017738229227191607,1.983423418486596,-0.554894974217077,5.844478956532195
1,1.5271263561398956,0.4633225474142467,-1.0890726515913092,0.9848964372530112,-0.1541397406850523
0,-1.4068250064783976,-2.210183361708084,0.09265660613096145,0.2951982008653676,-0.2863927513323617
0,-2.8738006877875444,-3.1013519980821944,0.09265660613096145,0.2951982008653676,5.466613211825598
0,0.060150674830748964,-0.42784608895986354,-1.3254185031357624,-1.6936990389501632,-0.39975247474434117
3,-0.6733371658238243,0.4633225474142467,0.5653483092198701,0.7122250414718498,0.894437700875758
0,0.060150674830748964,0.017738229227191607,-0.3800350969579451,-1.0200402964319994,-0.2863927513323617
0,-2.140312847132971,-0.8734304071469187,2.692460973119956,0.5839090905160091,5.183213903295648
0,-2.8738006877875444,-0.8734304071469187,-1.3254185031357624,-0.23410509682747527,4.512502206441437
0,-0.6733371658238243,-0.42784608895986354,-1.3254185031357624,-1.6455805573417228,-0.1730330279203822
1,0.7936385154853223,0.9089068656013018,-0.3800350969579451,-1.2445932106047208,-0.16358638430271724
3,0.7936385154853223,0.017738229227191607,-0.3800350969579451,1.9633055632912964,-0.437539049215001
0,-2.8738006877875444,-0.8734304071469187,-0.6163809485024004,-0.3945000355222761,4.795901514971385
0,-0.6733371658238243,0.9089068656013018,-0.3800350969579451,-0.26618408456643544,-0.1541397406850523
0,-0.6733371658238243,-0.8734304071469187,-0.8527268000468538,-0.9879613086930393,-0.10690652259672749
0,-0.6733371658238243,-0.42784608895986354,-0.6163809485024004,-0.6190529496949974,-0.27694610771469674
0,0.060150674830748964,0.4633225474142467,-0.8527268000468538,-0.9719218148235592,-0.29583939495002665
3,0.7936385154853223,0.9089068656013018,1.0380400123087787,-1.1323167535183603,-0.24860617686170186
3,0.060150674830748964,0.017738229227191607,0.3290024576754168,1.8349896123354557,-0.27694610771469674
0,-2.140312847132971,0.9089068656013018,1.983423418486596,1.4179627717289736,-0.35251925665601636
0,0.060150674830748964,0.9089068656013018,0.09265660613096145,0.9848964372530112,-0.11635316621439246
0,-1.4068250064783976,0.4633225474142467,1.0380400123087787,1.5623182165542941,-0.3052860385676916
0,0.060150674830748964,0.4633225474142467,-1.3254185031357624,-0.2501445906969554,0.36542565828652035
0,-1.4068250064783976,-2.6557676798951393,-1.3254185031357624,-1.7097385328196433,-0.3241793258030215
0,-0.6733371658238243,-1.3190147253339737,-0.14368924541349182,0.21500073151796711,-0.3903058311266762
0,-1.4068250064783976,-1.3190147253339737,-1.0890726515913092,-1.308751186082641,-0.3619659002736813
3,0.7936385154853223,0.4633225474142467,-1.3254185031357624,-1.8701334715144442,-0.3052860385676916
2,1.5271263561398956,0.4633225474142467,0.5653483092198701,-0.2501445906969554,-0.3052860385676916
