magnitude,depth,cdi,mmi,sig,alert
6.57,11.0,8.0,7.0,11.0,orange
8.26,21.0,8.0,8.0,-86.0,orange
6.77,47.0,8.0,7.0,-44.0,orange
7.25,11.0,8.0,8.0,0.0,orange
7.26,10.0,9.0,8.0,0.0,orange
6.87,12.0,7.0,7.0,-22.0,orange
7.06,42.0,8.0,8.0,73.0,orange
7.04,13.0,9.0,8.0,15.0,orange
7.51,227.0,8.0,7.0,-88.0,orange
7.76,15.0,8.0,8.0,10.0,orange
6.81,42.0,8.0,7.0,-59.0,orange
7.09,46.0,8.0,7.0,-2.0,orange
7.09,20.0,8.0,8.0,67.0,orange
6.94,19.0,8.0,7.0,-9.0,orange
7.07,38.0,8.0,7.0,-4.0,orange
6.62,10.0,7.0,8.0,-22.0,orange
6.93,19.0,7.0,7.0,-8.0,orange
7.25,175.0,8.0,7.0,-66.0,orange
7.78,111.0,8.0,8.0,92.0,orange
6.77,26.0,7.0,7.0,-4.0,orange
7.29,15.0,8.0,7.0,29.0,orange
6.53,11.0,7.0,7.0,1.0,orange
7.28,13.0,9.0,8.0,13.0,orange
6.59,12.0,8.0,7.0,-11.0,orange
6.66,52.0,8.0,8.0,58.0,orange
6.6,12.0,8.0,7.0,-12.0,orange
6.59,11.0,8.0,7.0,15.0,orange
6.65,49.0,8.0,8.0,57.0,orange
7.3,10.0,8.0,8.0,4.0,orange
6.84,12.0,7.0,7.0,-2.0,orange
7.1,26.0,9.0,8.0,70.0,orange
7.25,14.0,7.0,7.0,-39.0,orange
6.84,47.0,8.0,8.0,65.0,orange
6.79,13.0,8.0,8.0,-25.0,orange
6.62,21.0,8.0,7.0,-13.0,orange
6.83,12.0,9.0,8.0,17.0,orange
7.25,20.0,8.0,7.0,30.0,orange
7.03,20.0,8.0,7.0,-8.0,orange
6.89,12.0,7.0,7.0,10.0,orange
7.45,30.0,8.0,8.0,3.0,orange
6.74,11.0,9.0,8.0,15.0,orange
6.89,32.0,8.0,7.0,-13.0,orange
6.85,18.0,7.0,7.0,-8.0,orange
7.9,20.0,9.0,8.0,-111.0,orange
6.73,12.0,9.0,8.0,17.0,orange
7.7,87.0,9.0,8.0,87.0,orange
7.61,151.0,8.0,7.0,-98.0,orange
6.62,11.0,7.0,7.0,-4.0,orange
6.74,10.0,7.0,8.0,-27.0,orange
7.48,223.0,8.0,7.0,-88.0,orange
6.83,38.0,8.0,8.0,62.0,orange
7.16,15.0,8.0,8.0,-3.0,orange
7.2,17.0,8.0,8.0,-39.0,orange
7.35,14.0,8.0,8.0,-55.0,orange
6.89,34.0,8.0,7.0,-85.0,orange
6.8,11.0,7.0,7.0,-19.0,orange
6.86,54.0,8.0,7.0,56.0,orange
7.26,20.0,8.0,7.0,-30.0,orange
7.21,10.0,9.0,8.0,3.0,orange
7.01,37.0,8.0,7.0,44.0,orange
7.18,19.0,8.0,7.0,-4.0,orange
7.95,19.0,8.0,8.0,-76.0,orange
6.95,49.0,8.0,7.0,-9.0,orange
6.66,12.0,9.0,8.0,-10.0,orange
8.25,21.0,8.0,8.0,-85.0,orange
6.97,13.0,8.0,7.0,23.0,orange
6.85,18.0,8.0,7.0,-10.0,orange
7.65,20.0,8.0,8.0,-54.0,orange
6.53,11.0,7.0,7.0,-5.0,orange
6.89,10.0,7.0,7.0,-2.0,orange
7.24,174.0,8.0,7.0,-66.0,orange
6.92,19.0,8.0,7.0,-9.0,orange
6.65,10.0,7.0,8.0,-25.0,orange
6.61,10.0,7.0,8.0,-21.0,orange
6.69,10.0,8.0,8.0,-31.0,orange
6.61,12.0,8.0,7.0,18.0,orange
6.61,12.0,8.0,7.0,-12.0,orange
6.93,47.0,8.0,7.0,57.0,orange
6.84,56.0,8.0,7.0,57.0,orange
7.07,17.0,8.0,8.0,-29.0,orange
6.63,12.0,8.0,7.0,-13.0,orange
6.81,49.0,8.0,7.0,-24.0,orange
6.78,46.0,8.0,7.0,-17.0,orange
7.57,12.0,9.0,9.0,5.0,orange
6.91,17.0,8.0,7.0,-15.0,orange
6.63,11.0,8.0,8.0,-19.0,orange
7.3,37.0,8.0,8.0,1.0,orange
6.81,12.0,7.0,7.0,-18.0,orange
6.91,12.0,9.0,8.0,16.0,orange
7.8,20.0,8.0,8.0,-62.0,orange
7.33,79.0,8.0,7.0,71.0,orange
6.98,38.0,8.0,7.0,60.0,orange
6.8,52.0,8.0,8.0,64.0,orange
7.17,17.0,8.0,7.0,53.0,orange
7.24,31.0,9.0,8.0,-88.0,orange
7.29,14.0,8.0,7.0,26.0,orange
6.68,10.0,7.0,8.0,-29.0,orange
7.76,15.0,8.0,8.0,8.0,orange
6.91,51.0,8.0,7.0,55.0,orange
6.67,32.0,8.0,8.0,53.0,orange
7.03,28.0,8.0,7.0,-6.0,orange
6.74,15.0,7.0,7.0,-7.0,orange
6.67,11.0,9.0,8.0,17.0,orange
6.94,13.0,8.0,7.0,22.0,orange
6.79,16.0,8.0,7.0,5.0,orange
8.04,20.0,8.0,7.0,-76.0,orange
7.17,14.0,8.0,8.0,-3.0,orange
7.03,15.0,7.0,7.0,-27.0,orange
7.04,11.0,9.0,8.0,-3.0,orange
6.51,11.0,7.0,7.0,-6.0,orange
7.04,10.0,9.0,8.0,7.0,orange
7.36,15.0,7.0,7.0,-44.0,orange
6.9,52.0,8.0,8.0,70.0,orange
7.19,10.0,8.0,8.0,0.0,orange
6.8,46.0,8.0,7.0,53.0,orange
7.59,14.0,8.0,8.0,6.0,orange
6.89,53.0,8.0,7.0,55.0,orange
6.97,40.0,8.0,7.0,59.0,orange
6.61,34.0,8.0,8.0,51.0,orange
6.78,58.0,8.0,7.0,60.0,orange
6.51,11.0,7.0,7.0,-4.0,orange
6.9,26.0,8.0,8.0,40.0,orange
6.91,25.0,8.0,8.0,61.0,orange
6.87,15.0,7.0,7.0,-15.0,orange
7.01,34.0,8.0,7.0,62.0,orange
6.75,10.0,7.0,8.0,-26.0,orange
6.64,11.0,9.0,8.0,17.0,orange
7.02,20.0,8.0,7.0,-10.0,orange
6.82,68.0,8.0,8.0,67.0,orange
